wadg,nsg_random,nsg_no_random
71180,47082,150889
86762,84821,124273
81459,102309,172188
85318,84025,140688
72391,104728,155091
122810,122798,122798
86891,130349,151335
87484,91579,202881
81150,78388,135852
94810,117000,134708
40627,51353,155487
91764,78208,129789
60517,81596,122626
68667,92830,181313
88045,87057,120048
103484,102945,102945
115857,119754,129847
98618,117710,167176
103690,75616,164165
119023,130173,156447
67815,84407,170047
83888,122219,159412
86722,89777,129006
103870,105057,144133
69810,59147,126541
56528,65483,189278
68929,91313,139382
85427,103656,155135
115718,139027,158094
41615,78882,143137
80251,103481,110726
78369,88706,222359
34164,43202,165070
38423,60430,180123
33659,42885,174855
29751,37208,193314
96696,22284,208800
95902,141954,215296
5296,21109,199603
34296,78097,199502
141406,57625,195742
60218,62634,235468
25509,60832,243533
18268,59184,203089
97475,107665,188978
17644,103170,189565
20389,50494,174643
47117,29509,163790
111070,98729,205081
146341,172819,231911
128536,98440,183627
79813,71021,206794
83658,148428,217066
87490,85562,146392
95762,101426,168929
67669,71812,115755
53493,48938,118701
120990,127161,163356
92406,88622,169361
109414,110075,202267
55543,91860,210551
43706,61752,194689
15020,20370,208315
46794,47830,149580
27345,40545,181443
79658,62163,138845
28428,54692,141886
56680,88262,121072
17073,66505,217912
85692,71447,206137
40366,71100,174805
98355,65559,144884
20807,39987,185335
25334,73078,133802
111213,106023,189655
129623,142320,195477
58403,69987,107854
66764,62325,176473
94377,72991,150829
54328,56794,127086
97193,128907,184773
47741,76466,171171
112021,90139,226113
107785,108459,156600
54951,138007,222829
99826,91004,138943
95534,80266,148662
62475,83522,199216
26341,57394,185512
70765,80916,142715
104746,90670,165877
45730,69853,139365
81060,152905,182811
82906,114060,175423
36238,39302,163087
128700,107435,163024
53063,68363,182198
56621,87204,178744
100991,97624,196745
71225,73347,199965
110844,102977,161224
149244,142477,226693
100243,118253,176324
94587,104486,179569
68849,82601,181334
51403,39517,185490
64754,89517,146400
151865,69210,217801
70888,90005,187158
18728,135718,221243
62671,69296,194748
67335,64999,120821
84597,86030,140262
97764,87711,112715
34952,38337,132596
66404,78762,131832
35154,41496,145405
69310,73228,116315
97985,72935,185287
67656,76156,171230
68216,63802,155387
79471,96905,126083
101228,114001,119933
59827,59799,123608
56009,70708,87171
83172,88108,136024
90701,99762,154374
117197,92938,110131
89641,109282,135335
96115,105810,142179
67421,64541,110385
37504,51677,119717
37525,120347,130895
59272,74737,130254
94424,75928,197822
154512,73687,167263
135589,120608,145228
104272,87916,132500
124842,113384,113384
94329,109606,138780
106692,113960,113960
96064,85863,130322
66355,104963,207864
10366,85231,213069
98623,90555,129391
103938,95169,144631
79125,93351,142372
157732,130656,141721
72768,82924,144111
157467,126792,202933
98778,146158,159194
133826,112732,139709
64887,68684,162283
64127,82166,200387
87953,110862,153760
185778,136263,204503
39668,47172,171014
86731,91545,122999
87474,108591,132225
53586,85117,195406
116285,133625,133625
94389,94063,121735
82084,132755,151493
76336,113161,156750
94743,90298,164815
76622,84365,129342
54971,86562,128898
141457,167459,187943
138255,91806,134176
82200,85395,188075
65514,92282,110601
101079,94286,191755
41239,41819,205893
115324,91393,136623
68995,90025,225730
74540,72103,168132
73655,116444,176382
60970,58437,130038
36071,51166,159589
134554,109957,211721
55175,82715,198177
69791,79204,132675
142389,130425,156523
105943,121489,137017
16730,27384,213865
127305,121126,136723
30366,40371,121268
43149,28932,187683
113270,104713,176166
134692,121878,176463
80071,105032,136985
116016,128082,220306
91239,97330,225299
69904,65544,150907
152149,173281,198087
57845,81331,189405
70152,81085,121481
71632,98296,143306
136437,106683,134758
158625,145462,213257
95080,110085,110219
138400,143287,143287
103390,99672,111025
160028,146403,146403
35565,31161,122914
126827,128016,139202
128258,130625,158539
70480,79662,224032
193640,146250,206069
62218,77841,156366
48381,84878,207921
109603,80468,182391
139310,129960,129960
82374,129495,190083
70893,107892,165844
54772,73113,191316
72477,151756,227285
70061,106484,160681
63024,81689,146065
88859,87903,168560
88405,54874,115446
83538,53699,163990
65668,70420,165999
98922,110814,143113
66842,78113,158274
33117,42988,146610
112454,111671,167205
65166,88184,141391
58496,49901,187474
110560,113121,169584
28469,37150,122388
20879,14869,119258
69383,62343,126735
50684,65154,118623
67400,86996,135141
59209,64651,132012
67564,72032,127999
83870,65981,153163
62803,89461,137022
65604,68754,148202
70206,90533,145024
71734,77127,158549
47372,85473,121979
63772,67989,128473
57650,95488,131617
68314,66466,125562
80891,79890,127451
57719,58721,121452
68747,62669,136181
75092,110702,159953
94742,92839,148178
92993,93603,93603
87411,105361,145821
63560,74441,153237
76011,111526,125241
114553,114948,128561
76344,65091,102959
49060,50292,109365
95101,90165,156975
114979,126320,126320
66642,75826,116293
67663,66476,131155
78542,84554,135923
96732,104123,166105
72785,89094,112534
103137,83280,146951
77407,65604,165761
116311,96515,159484
101306,93824,107077
75995,79874,134090
113104,113291,151099
90913,105785,128914
120317,116885,154241
85500,81865,174165
116660,117939,143639
82643,80713,135034
117284,101097,148115
99723,100675,145152
89369,88145,149783
80321,87943,160642
99552,111891,111891
115043,99066,125047
113145,92474,150608
148869,125249,181398
63793,96998,203684
85696,86628,164228
107228,118353,134192
61823,88603,97809
50883,103554,179722
64931,68462,123061
71931,92365,131036
134613,155178,168898
162514,140992,194678
100853,86637,172052
88007,89054,139878
69635,71176,132891
84521,77476,108476
78268,92222,142268
107367,106572,130415
76526,79109,152345
137712,122315,176041
70275,131015,165234
92476,90477,149025
79145,102991,164917
62315,73049,159086
65418,62674,147123
106984,118639,157521
82704,99220,163838
133211,117579,145158
100730,113362,176882
72013,76719,121374
67769,72442,134948
73241,66633,135562
115851,110556,117393
159810,156702,169098
138016,160975,160975
109923,139876,170360
54249,62989,100772
110647,85066,139535
92592,111432,177493
96535,105441,139609
97482,89357,122260
96088,83716,112079
95557,69366,132070
91175,74063,129269
96553,107336,150385
108190,126214,156430
27457,38275,143426
90983,99070,155480
86610,89854,155805
137500,98465,125124
91999,111219,141388
105227,131967,200736
77846,117294,128342
57927,79546,99991
78538,90229,171771
83627,79990,200160
108777,99334,99334
68222,71586,130443
131122,114736,149216
97950,109491,113143
112407,85444,178978
56637,55288,163198
115093,106124,160133
79702,73282,163758
97111,120879,200320
121735,107198,154434
91997,95472,115700
103410,109208,109208
89650,103811,114724
108648,117319,117319
94962,100637,100637
101399,95534,145400
127450,141294,158911
149068,110174,180339
77647,109344,145732
97973,118768,152900
116236,60895,160757
77578,94554,142282
107132,110654,137123
128842,141907,141907
115248,108766,128515
88148,92897,118807
105446,95275,158181
101937,146580,191513
65376,108111,136195
53665,58629,124516
99840,71745,172888
96631,121777,158026
91993,101400,122728
137125,112688,178322
54835,59481,133272
99406,94575,128970
96561,129799,156908
93893,104503,128610
118475,120932,160309
125805,155089,171060
107442,92876,127431
102278,97789,157929
120081,127657,175586
89325,97582,134464
128879,104379,138690
90127,90545,90545
131571,148556,148556
54699,62238,186679
144850,142428,188135
57163,68719,196349
117946,123047,124493
43401,100142,156480
75634,133253,149525
98657,122526,177138
58984,84172,148195
113700,104345,156081
133100,169892,177381
120802,129024,146663
86487,97264,160287
125026,100382,176494
114082,124500,148428
23704,93703,174907
51360,65935,112919
126088,122331,171762
73027,82470,94846
111080,117444,147932
107908,77919,152531
138376,134795,164847
103547,123732,163184
115201,98125,168743
79835,93589,163878
150922,179275,190149
133557,120612,184863
102229,102720,141167
100694,112717,177844
103810,78506,133791
50327,66568,131430
88734,83243,133932
77480,94224,141820
118238,124481,124481
137215,114346,150895
133033,103308,173506
84634,91972,148570
96953,82453,134746
133943,122196,141564
89150,87037,172633
107504,105937,192449
115822,110168,167031
20739,30010,121968
44365,68689,124174
20875,62059,140132
85716,94996,145157
67591,71521,136655
65294,92171,183399
76421,94769,118668
93719,108006,124955
61744,85532,155925
49498,77028,137076
48230,62500,133547
66546,78928,121774
69611,91777,118973
68101,80317,88183
66644,80081,126642
91667,97108,194703
80981,65050,171178
24253,47288,111362
94122,80779,121265
83371,73171,146660
124439,104102,125933
106089,98476,100335
89628,75057,124095
32194,38296,129741
150649,164798,165268
100755,78734,155514
99171,99361,136198
78724,97206,155412
110182,97298,129132
90905,101617,138360
105367,83626,136656
27714,58733,128101
25497,52053,119074
67696,90459,179595
80767,83988,139637
104031,65929,154639
123434,96770,116725
59510,95088,147840
96117,111300,187383
115397,111237,132532
82899,89547,203096
55555,65781,137477
56766,53117,123926
80296,114254,162650
33875,47557,122340
121155,118071,118071
76709,80603,140190
40850,65458,141503
102667,106482,192640
108871,97493,189561
51011,63335,126358
34982,32698,130287
74589,75145,144056
62880,80937,125548
104978,102441,134213
97805,86730,164038
67836,61878,125879
86817,101666,135899
105107,101784,129596
103365,111281,123649
98566,116576,187022
108288,106125,106125
24348,66567,131045
84975,81879,205741
94696,98582,155866
88781,115363,136537
88295,88077,137308
47481,89386,217383
68557,84198,149314
151647,111156,187104
108740,121767,164370
120937,128403,129170
39708,47672,119802
131618,115408,173995
72781,66242,124239
90007,111048,147540
75236,95051,207069
85674,147799,183691
81210,126920,169100
82458,76575,110655
82431,45551,142067
65550,84190,133943
68162,64123,141713
46080,48292,139705
80459,82040,153601
67508,95800,134669
55211,73678,128726
81605,63799,137335
43498,50121,105048
122267,118931,157285
83045,125401,148123
91822,107988,190937
63764,68986,122348
148010,146092,146092
59391,72112,156404
120833,87326,156532
45715,79738,146216
78895,85995,175483
128508,83879,154785
120632,124299,139515
114556,125163,148723
61092,72861,137200
60145,58811,185417
101251,99275,136097
116337,127431,147173
101239,98471,98471
52360,64209,140840
69475,59708,128260
53305,72323,112049
77865,100230,202461
104348,103176,151620
43377,67705,111293
74598,84210,152865
72443,66626,127231
56372,61269,164583
63272,76833,143860
78073,96597,174440
85638,108955,132825
74635,88953,171880
84497,87127,142441
107447,85836,85836
74129,91261,154926
114453,118884,156488
36431,74182,128792
71448,84463,135874
87816,84005,146453
87499,101630,151541
82409,87909,102776
49578,67175,130009
96633,101941,119765
105401,100244,111370
79643,98333,104074
85372,65413,108155
70583,95322,126396
76308,74995,125001
89760,150539,150539
86812,87786,121963
80903,77864,126398
66353,99447,197260
72702,84849,120211
56674,76955,111552
77244,104668,135412
134939,131607,135274
150465,124779,156481
146746,129898,147344
113475,98292,146123
108686,99958,177438
141308,125308,125308
127599,128279,128279
64842,89353,155420
95772,76800,167985
51943,76038,140434
66805,88984,177194
120171,105320,105320
76123,82855,127388
78716,75644,94496
80673,82274,116644
83767,82980,159459
87610,96724,149931
114662,117619,117619
85761,125115,159407
73694,113872,164287
68682,75350,131301
116211,112213,120130
124189,137730,157757
125416,119462,149405
91397,86959,186006
116618,125403,172444
41584,63944,115288
83355,87602,123065
51566,65135,124409
91590,48750,162483
101862,96181,110069
106957,111030,146325
80999,84597,132049
95563,103076,149796
124048,115593,120884
109292,89128,141227
117766,143674,150289
72463,41746,189819
122915,87304,149876
68587,97144,160846
138399,138954,154805
58086,77182,125218
103970,161128,197320
37151,31748,135626
69081,98449,139613
110706,110713,118291
78311,116160,144343
80014,87169,197000
91612,95849,95849
130949,120699,173854
108119,95740,119675
46716,26682,189627
118895,122109,152677
83387,65039,152499
73768,41701,118238
102555,115538,131268
71232,81224,157246
95703,104999,177255
70589,99411,161943
125294,107127,166320
83439,109517,109517
81155,92627,99444
55260,73065,131197
88728,104047,139586
97172,114836,150743
77982,90420,128403
74612,88851,157603
98893,84159,167970
89840,88057,117450
98259,125244,146364
83215,109173,159154
72498,107371,130452
64688,130847,146756
53236,51399,209041
60955,82636,109400
99997,115212,171176
109603,128014,176604
105395,122504,141863
90431,133316,175308
82050,82953,120104
139246,161018,170517
90498,115961,116196
112318,133570,179098
103014,128655,146777
73563,84520,153775
85689,92768,172633
138166,122679,168632
70647,52504,221972
70817,94546,198215
52910,68600,143828
29593,57357,138713
70735,84759,123700
86771,98150,124617
66135,87072,121841
59290,66572,134075
80020,116406,161527
108051,125106,177183
81245,93994,114964
70375,74061,124009
64752,70868,164741
94768,81629,152349
22043,43779,121579
84196,73335,173975
78611,83090,109042
79193,109846,201774
62623,93224,176235
95828,139786,178875
67151,73707,139549
73584,73405,129236
73080,97383,119550
61826,106802,118051
64210,65942,119617
108692,82465,146544
27060,75901,156015
73737,68973,139516
55441,68681,145242
64177,75549,114802
82980,90692,160787
55221,59798,182070
80323,94558,146719
32193,71243,130617
116995,105329,120940
45455,69002,111210
72813,79680,128895
57935,82776,128548
87345,84357,129005
52537,81828,140025
75147,62884,127548
129208,129457,138522
74280,99980,126766
74598,48923,188003
59995,94965,113075
102434,91136,94372
75112,88692,136817
42160,64081,153519
69508,62210,128509
71463,80054,117999
59529,64108,119789
84768,76974,136466
79118,86780,163317
75576,67417,144412
48957,56487,129658
79569,88720,107032
101649,108798,155283
77003,92559,129788
96109,93417,162434
105874,112432,130160
93185,92420,135262
194114,187345,187345
101797,83549,167546
74069,77900,159516
102982,56882,153811
87951,88476,131393
60351,59402,124983
118199,94540,143169
68509,103789,129311
78645,75577,109867
98293,113591,143792
69449,79941,156006
63783,115304,194560
87777,86996,86996
61693,79149,151679
157806,99789,206764
91456,86624,131687
82711,120494,144409
61223,82768,131347
46803,67719,123736
111409,115371,115371
79321,86513,145660
77023,79733,153212
59637,84408,131801
94798,124145,185362
52020,43703,137066
93555,110771,120371
44774,80341,147371
58168,34825,171106
78083,71414,153271
101928,60882,141579
101310,95894,133933
73806,59487,166381
83096,70236,132351
86562,95950,145794
150854,154917,154917
46001,67517,149082
83376,85523,106203
70264,74697,117160
76418,94651,135409
61488,59494,132818
39940,54518,100872
64116,70393,141575
89564,118840,136869
135348,127746,195581
94825,104460,142480
96898,118241,137104
60400,78893,140129
92226,128044,167427
58053,83471,93888
95365,68407,145720
89741,95880,167133
98498,60128,142465
77620,67226,127741
127787,130360,130360
72685,75226,130118
129812,123869,142641
145483,120768,166671
77846,59706,158667
130555,107004,147772
65987,74300,146844
64574,58593,191495
55111,42827,154012
68845,94677,124799
95234,108024,129903
90083,115609,141158
69624,96233,164883
72869,51213,171898
70676,121731,172900
137200,130726,193585
105859,116860,135849
76770,112803,112803
52254,39273,151355
67933,89213,129790
96195,101220,183647
107885,109612,118714
115108,136671,148494
31352,33687,226974
70883,67163,113524
48738,64866,135581
71714,76387,111143
77248,83246,101762
75166,78309,158483
114388,140729,147577
43183,46001,106063
88177,82379,162128
119340,138464,168527
66641,66989,164074
100934,102242,157047
77819,100519,154792
180065,158378,158378
104658,82666,170104
125327,135416,201774
57293,52823,146206
70800,121643,167115
95547,78619,187690
83022,50937,182526
76100,81761,193731
27532,37311,218348
167328,148492,148492
120499,169220,196329
22751,39435,126875
92037,119529,119554
66999,72904,157468
99591,112814,167180
82299,76337,148332
50840,55240,153901
100541,99820,136262
96015,87614,139827
71653,85203,220216
81398,76767,216600
79542,89103,116423
89155,96222,128569
75840,88903,132656
123439,119717,183149
79511,70600,186251
107179,99083,176262
55976,57916,187027
124872,150611,171108
87284,112036,131373
56180,61112,194338
89493,69984,164291
67918,86829,142403
53516,27738,174172
69123,34270,180292
52209,88890,123537
92449,105190,150449
129590,113850,151427
77396,77123,153943
40022,77177,145520
97478,107485,107485
33169,49402,190881
101287,112497,176654
109665,135786,166263
74445,92753,137673
103114,167081,219621
108478,138140,138887
131384,128638,128638
103174,124037,181134
25451,22079,189428
94366,103436,133289
139418,138364,164371
137398,149948,181708
67225,85284,163869
43433,65107,216805
59822,82097,129180
54160,47455,189422
94406,120484,146012
141015,150257,179314
97674,145071,166073
97281,85453,148080
55179,83557,174756
85072,80732,111998
137268,91028,156481
97602,119711,230453
126378,112250,112250
92765,102539,132408
132417,90968,132091
112022,138530,216302
76093,105971,158283
97607,78014,121415
77864,77670,153823
59647,64372,128096
150146,110334,110334
29094,52116,180960
72176,83507,88890
105342,80513,164628
91836,131493,166662
50939,67288,122467
141306,122680,150840
123933,119198,181199
131284,144304,168077
138044,130640,194980
125607,109699,138013
119466,81183,222306
82172,99896,143936
107204,116293,141194
112702,104178,155831
59602,79022,167150
109277,107377,157819
48829,68527,104591
28602,72376,197292
60710,96513,213877
98668,79479,118447
