wadg,nsg_random,nsg_no_random
0.00298083,0.00259671,0.00328832
0.00285899,0.00282795,0.00316435
0.00260584,0.0045184,0.00306537
0.00289575,0.00427922,0.00326282
0.00272132,0.00374115,0.00283516
0.00241738,0.00254858,0.00324349
0.00262238,0.00253962,0.0029003
0.00336297,0.00267274,0.00323458
0.00304575,0.00253937,0.00327602
0.00385928,0.00248211,0.00301527
0.00303174,0.00252519,0.00312073
0.00310283,0.00260905,0.00324848
0.00301193,0.00279778,0.00304198
0.00294352,0.00272849,0.00295092
0.00465654,0.00284055,0.00320179
0.00399945,0.00251731,0.00262258
0.00354416,0.00247391,0.00252176
0.00497868,0.00274092,0.00290545
0.00416581,0.00249055,0.00296216
0.00432631,0.00252639,0.00330231
0.00265946,0.00232743,0.00312524
0.00288183,0.00248645,0.00300473
0.00255848,0.00250373,0.00325565
0.00287624,0.0030387,0.00322829
0.0027753,0.00269037,0.00340608
0.00265423,0.00288828,0.00304551
0.00264681,0.00259432,0.00318014
0.0030782,0.00262132,0.0031367
0.0030741,0.00453051,0.00326338
0.00245511,0.00376749,0.00281531
0.00315001,0.00459032,0.00404098
0.00279835,0.00477058,0.00326183
0.00249705,0.00240787,0.00312823
0.00270596,0.00249757,0.00326828
0.00228054,0.00221839,0.00275067
0.00273785,0.00271664,0.00335686
0.00260857,0.0025121,0.00316896
0.00260311,0.00272637,0.00309014
0.00281743,0.00287982,0.00319117
0.00332869,0.00273088,0.0034996
0.00267308,0.00283607,0.00311558
0.00261055,0.00253068,0.00295433
0.00308595,0.00273905,0.00291404
0.0024788,0.00230422,0.00273003
0.00377316,0.00289327,0.00345527
0.00334341,0.00275911,0.00307495
0.00367391,0.00273506,0.00286012
0.00258005,0.00235384,0.00254077
0.00298128,0.00300168,0.00325117
0.0026168,0.002611,0.00297025
0.00350518,0.00283173,0.00316479
0.00260949,0.00275156,0.00266597
0.00301758,0.00296406,0.00402745
0.00320402,0.00261064,0.0029915
0.00282022,0.00308214,0.00320799
0.00282024,0.00276921,0.0034484
0.00266509,0.00314624,0.00322643
0.00280626,0.00303297,0.00316973
0.00271707,0.00262408,0.00312598
0.00316204,0.00296409,0.00320797
0.00285234,0.00277235,0.0031733
0.00335336,0.0030749,0.00319037
0.00255735,0.00250747,0.00317373
0.00242827,0.00253517,0.00308519
0.00289487,0.0027435,0.00335306
0.00296216,0.00288102,0.00354513
0.00302389,0.00286791,0.0040321
0.00261278,0.00269288,0.00313525
0.002346,0.00239347,0.00263074
0.0028248,0.00261777,0.0033639
0.00295732,0.00271574,0.00343446
0.00308662,0.00297895,0.00335689
0.00277466,0.00318983,0.00313542
0.00275411,0.00247696,0.00327975
0.00279877,0.00282572,0.00308026
0.00260445,0.00305731,0.00311562
0.00273125,0.00257203,0.00326783
0.00267754,0.00233312,0.00342956
0.00245887,0.00250151,0.00468423
0.00270875,0.00265643,0.00527106
0.00257337,0.0025043,0.00303806
0.00259958,0.00246194,0.00285116
0.00266428,0.00271483,0.00307356
0.00265757,0.00280988,0.00327702
0.0030421,0.00296447,0.00331882
0.00262593,0.00248473,0.00279435
0.00271209,0.00297098,0.00307874
0.00302765,0.0029671,0.0032593
0.0035901,0.00265199,0.00285607
0.00255367,0.00255239,0.00276055
0.00241438,0.00252624,0.00320657
0.00232637,0.00242078,0.00290752
0.0026844,0.00250945,0.00296066
0.00306817,0.00290992,0.00309406
0.00288867,0.00292517,0.00305761
0.00250518,0.00260004,0.00278507
0.0032736,0.00282991,0.00312596
0.00284499,0.00266942,0.00267281
0.0028784,0.0027305,0.00328726
