wadg,nsg_random,nsg_no_random
3.38E-05,0.000258388,0.00014182
3.51E-05,0.000277837,0.000141384
3.36E-05,0.000268063,0.0001461
2.72E-05,0.000283372,0.000144783
2.87E-05,0.0002606,0.000145765
3.82E-05,0.000261493,0.000148247
4.38E-05,0.00032705,0.000144253
3.78E-05,0.000291488,0.000190496
2.89E-05,0.000282986,0.000156182
3.07E-05,0.000264058,0.000166767
3.03E-05,0.000263833,0.000141652
2.66E-05,0.000268242,0.000145275
3.07E-05,0.000266904,0.000143925
3.10E-05,0.000430231,0.000142331
2.91E-05,0.000258798,0.000153137
3.15E-05,0.000248928,0.000144866
2.80E-05,0.000252994,0.000141855
4.99E-05,0.000299136,0.000141112
3.14E-05,0.000271151,0.000161146
3.17E-05,0.000260628,0.000154399
4.08E-05,0.000272455,0.000140553
3.04E-05,0.000248306,0.000241333
2.82E-05,0.00024803,0.000153496
2.71E-05,0.000247447,0.000148157
2.70E-05,0.000303684,0.000146327
2.85E-05,0.000245219,0.000171976
2.72E-05,0.000246635,0.000149315
2.62E-05,0.000248563,0.000185267
4.72E-05,0.000267052,0.000150583
4.38E-05,0.000250681,0.000154752
3.20E-05,0.000293338,0.000136713
2.74E-05,0.00025713,0.00013468
4.19E-05,0.000248766,0.000146836
2.79E-05,0.000251143,0.000242172
2.80E-05,0.000247529,0.000246652
2.81E-05,0.000250307,0.0001647
2.92E-05,0.000245776,0.000139318
2.64E-05,0.000247456,0.00015201
2.70E-05,0.00028914,0.000151513
2.65E-05,0.000267498,0.000150846
2.82E-05,0.00025393,0.000135836
4.03E-05,0.00024774,0.000166225
2.81E-05,0.000254177,0.000139652
2.62E-05,0.000258659,0.000135248
3.27E-05,0.000255062,0.000135552
2.76E-05,0.000250177,0.000143018
2.69E-05,0.000252051,0.000138443
2.67E-05,0.000248366,0.000138963
2.94E-05,0.000255009,0.000131662
6.49E-05,0.00026512,0.00015173
2.97E-05,0.000323947,0.000134132
2.67E-05,0.00025384,0.000133528
7.53E-05,0.000261522,0.000134654
4.06E-05,0.00025934,0.000162244
2.86E-05,0.000252726,0.000149228
3.66E-05,0.000245851,0.000137962
3.04E-05,0.000338726,0.000142527
2.72E-05,0.000272507,0.000136682
2.73E-05,0.000252116,0.000136886
2.70E-05,0.000449455,0.000134744
2.71E-05,0.000273143,0.000134302
2.63E-05,0.000426409,0.000162248
2.71E-05,0.00044772,0.000142893
3.90E-05,0.000276876,0.000135963
3.85E-05,0.000298785,0.000187827
2.79E-05,0.000263563,0.000141971
2.68E-05,0.000258613,0.000134362
2.64E-05,0.000248485,0.000143069
2.91E-05,0.00025401,0.000133913
2.79E-05,0.000243386,0.000151103
2.51E-05,0.000436759,0.0001335
5.59E-05,0.000265455,0.000132388
2.76E-05,0.00024665,0.000135398
2.66E-05,0.00031504,0.000147928
5.17E-05,0.000258968,0.000137963
4.61E-05,0.000253888,0.000137767
7.25E-05,0.000280545,0.000154954
4.79E-05,0.000392011,0.000136219
3.26E-05,0.000257605,0.000157329
3.48E-05,0.000247259,0.00013823
3.25E-05,0.000246986,0.000134712
3.08E-05,0.000271502,0.000134233
3.33E-05,0.000267701,0.000135801
3.30E-05,0.000283428,0.000138792
4.80E-05,0.000473865,0.000179221
5.12E-05,0.000257866,0.000145029
4.15E-05,0.0002537,0.000135858
4.55E-05,0.000249982,0.000141488
4.62E-05,0.000260139,0.000245538
4.83E-05,0.000262713,0.000266988
3.79E-05,0.000249752,0.000149535
4.56E-05,0.000251382,0.000156196
5.22E-05,0.00029563,0.000143695
3.45E-05,0.000279946,0.00016036
4.50E-05,0.000268422,0.000147375
4.77E-05,0.000269632,0.000152731
3.36E-05,0.000265581,0.000143376
4.30E-05,0.000260629,0.000136763
8.79E-05,0.00027087,0.000194303
3.52E-05,0.000262961,0.000145022
4.93E-05,0.000282426,0.00017106
3.42E-05,0.000263622,0.000142148
3.36E-05,0.000265803,0.000172236
3.19E-05,0.000292254,0.000144875
3.24E-05,0.000353965,0.000146559
4.94E-05,0.000277942,0.00014588
4.42E-05,0.000270121,0.000160199
5.36E-05,0.000286672,0.000182711
3.28E-05,0.000273236,0.000139703
3.40E-05,0.000264417,0.000153747
4.31E-05,0.000276212,0.000138689
5.09E-05,0.000266596,0.000161178
3.29E-05,0.000262839,0.000146764
4.93E-05,0.000264651,0.000153214
3.95E-05,0.00025947,0.000153873
3.20E-05,0.0003327,0.000185354
3.08E-05,0.000296481,0.000142957
2.62E-05,0.000263441,0.000150866
2.87E-05,0.000267308,0.000172304
6.26E-05,0.000309099,0.000164085
3.56E-05,0.000271027,0.000173573
3.73E-05,0.000280118,0.000159019
3.78E-05,0.000262769,0.000150873
4.12E-05,0.000268397,0.000148907
2.80E-05,0.00027328,0.000150422
3.62E-05,0.000282433,0.000148081
3.56E-05,0.000265639,0.000148636
3.21E-05,0.000273148,0.000144794
2.79E-05,0.000286301,0.000148515
3.20E-05,0.000265584,0.000148785
2.70E-05,0.000375215,0.000144925
2.80E-05,0.000259593,0.000142357
2.88E-05,0.000247713,0.000145863
2.89E-05,0.000248052,0.000161038
4.78E-05,0.000256221,0.000151693
3.26E-05,0.000274258,0.000240682
3.09E-05,0.000245886,0.000169467
9.41E-05,0.000295375,0.000203219
3.25E-05,0.00027428,0.000149995
4.18E-05,0.000272655,0.000149419
2.91E-05,0.000244067,0.000190059
3.13E-05,0.000289741,0.000180236
3.17E-05,0.000251167,0.000150962
2.68E-05,0.000246665,0.000151083
2.80E-05,0.000249024,0.000155878
2.77E-05,0.000248008,0.000149723
4.78E-05,0.00025392,0.000262501
3.51E-05,0.000249374,0.000266578
2.83E-05,0.0002475,0.000159189
2.66E-05,0.000245676,0.000143861
3.28E-05,0.000316195,0.000142911
2.91E-05,0.00030492,0.000162158
2.74E-05,0.000253873,0.000152873
2.91E-05,0.000264602,0.000138758
3.06E-05,0.000254558,0.000138012
2.83E-05,0.000244845,0.000146033
2.88E-05,0.000251609,0.000137821
2.77E-05,0.000247313,0.000136799
2.77E-05,0.000249639,0.000144265
5.06E-05,0.000249553,0.00014127
3.06E-05,0.000248771,0.000138466
2.82E-05,0.000245207,0.000138802
5.98E-05,0.000327545,0.000138914
4.38E-05,0.00025122,0.000138593
3.04E-05,0.00024564,0.000149588
2.71E-05,0.000254352,0.000161566
2.75E-05,0.00024993,0.00013997
3.10E-05,0.000245987,0.000146675
2.81E-05,0.00024905,0.000168088
2.86E-05,0.000248822,0.000139011
3.25E-05,0.000245186,0.000138393
4.95E-05,0.000268436,0.000135581
3.30E-05,0.000263569,0.000143248
3.89E-05,0.000414064,0.000136144
3.02E-05,0.000399284,0.000139087
2.99E-05,0.000395512,0.000131489
3.06E-05,0.000381146,0.000170478
2.75E-05,0.000269467,0.000149624
4.03E-05,0.000381315,0.000143715
2.66E-05,0.000252254,0.000135492
4.60E-05,0.00024519,0.000140905
4.08E-05,0.000249436,0.000135824
2.69E-05,0.000278747,0.000137315
2.71E-05,0.000277904,0.000146662
3.22E-05,0.000246178,0.000145066
2.88E-05,0.000244895,0.000135699
2.91E-05,0.000255467,0.000172525
2.74E-05,0.000244476,0.000138519
4.22E-05,0.000245887,0.000139309
4.58E-05,0.000284567,0.000149322
3.53E-05,0.000249798,0.000141835
5.44E-05,0.000256017,0.000136989
5.44E-05,0.00025027,0.000158966
3.80E-05,0.000411021,0.000145323
3.87E-05,0.000267431,0.000136823
4.66E-05,0.000260294,0.000136894
3.07E-05,0.000249347,0.000136517
2.85E-05,0.000252072,0.000138744
2.82E-05,0.000247385,0.000139057
3.09E-05,0.000244644,0.00013453
2.81E-05,0.000254233,0.000138425
2.85E-05,0.000249778,0.000164672
3.49E-05,0.000246469,0.000234394
5.65E-05,0.000427882,0.000266904
4.98E-05,0.000435176,0.000236993
3.14E-05,0.000420059,0.000257825
2.85E-05,0.000504131,0.000268771
3.25E-05,0.00041515,0.000269203
3.26E-05,0.000446753,0.000324109
3.55E-05,0.000255808,0.000266735
3.49E-05,0.000254768,0.00026247
3.34E-05,0.000247605,0.000269089
3.34E-05,0.000253058,0.000255004
4.46E-05,0.000437528,0.000159491
3.51E-05,0.000267638,0.000154168
7.44E-05,0.000261494,0.000150328
3.52E-05,0.000281464,0.00015915
